Time,DHAP,±DHAP,PEP,±PEP,Time,DHAP,±DHAP,PEP,±PEP,DHAP (glu),± DHAP (glu),PEP (glu),± PEP (glu),DHAP (mal),± DHAP (mal),PEP (mal),± PEP (mal),
-0.966666667,0.296342311,0.044230777,1.342791008,0.11225554,0.133333333,0.645188561,0.546116678,0.952928757,0.245478337,0.3086272,0.032550843,0.44164606,0.022408448,0.418508514,0.021547691,1.223401681,0.16782772,from
0.072222222,0.007345351,0.003587487,0.245915397,0.132620139,0.916666667,0.370414437,0.090175586,1.493103556,0.171674375,1,0.228548774,1,0.18578949,0.296342311,0.003587487,1.342791008,0.132620139,
0.6,0.033171105,0.007686538,0.137880486,0.008550495,1.375,0.354077382,0.104846296,1.311867788,0.325877633,0.645188561,0.546116678,0.952928757,0.245478337,0.007345351,0.003587487,0.245915397,0.132620139,to
1.094444444,0.032099695,0.012980995,0.120668953,0.041205757,1.891666667,0.418508514,0.021547691,1.223401681,0.16782772,,,,,,,,,
1.666666667,0.022825321,0.011418928,0.078938954,0.011065733,,,,,,,,,,,,,,
2.377777778,0.01576412,0.004887918,0.129369734,0.005691018,,,,,,,,,,,,,,
3,0.015592623,0.003899582,0.135350236,0.022364575,,,,,,,,,,,,,,
3.788888889,0.037344364,0.008498367,0.152005435,0.020432505,,,,,,,,,,,,,,
4.388888889,0.044624835,0.023018871,0.185479214,0.048945168,,,,,,,,,,,,,,
4.861111111,0.074783623,0.026522511,0.223357594,0.009965454,,,,,,,,,,,,,,
5.366666667,0.051230868,0.010329084,0.25249176,0.01399141,,,,,,,,,,,,,,
5.922222222,0.130064667,0.010732412,0.297823672,0.014655037,,,,,,,,,,,,,,
6.191666667,0.12631696,0.057540845,0.402333829,0.030105301,,,,,,,,,,,,,,
6.7,0.160921703,0.031797117,0.393319524,0.016427974,,,,,,,,,,,,,,
7.075,0.095922418,0.045427538,0.325413442,0.128131511,,,,,,,,,,,,,,
7.716666667,0.088414882,0.027009422,0.305847125,0.061926455,,,,,,,,,,,,,,
8.266666667,0.100272552,0.021758825,0.33942051,0.055903774,,,,,,,,,,,,,,
8.816666667,0.155185701,0.026285139,0.375217149,0.103548467,,,,,,,,,,,,,,
9.633333333,0.205033219,0.069718369,0.330101074,0.140394882,,,,,,,,,,,,,,
10.21111111,0.26335281,0.063767545,0.315155476,0.038539639,,,,,,,,,,,,,,
11.86666667,0.3086272,0.032550843,0.44164606,0.022408448,,,,,,,,,,,,,,
