gluc to mal 1,,gluc to mal 2,,mal to gluc 1,,,,,,,,,,,,,,,,,
8,0.123,11,0.409,47,0.322,,,,,,,,,,0,0.016,0,0.012,,0.066666667,0.008
55,0.219,60,0.516,78,0.356,,,,,,,,,,3.133333333,0.013,3.483333333,0.019,,0.966666667,0.005
83,0.324,68,0.729,99,0.339,,,,,,,,,,6,0.035,6.35,0.08,,5,0.064
,,,,142,0.346,,,,,,,,,,6.766666667,0.049,7.116666667,0.13,,5.866666667,0.116
,,,,184,0.333,,,,,,,,,,7.733333333,0.083,8.083333333,0.238,,6.566666667,0.172
,,,,219,0.326,,,,,,,,,,8.533333333,0.148,8.883333333,0.367,,6.85,0.21
,,,,273,0.33,,,,,,,,,,9.05,0.203,9.4,0.485,,7.533333333,0.286
,,,,300,0.332,,,,,,,,,,,,,,,7.866666667,0.36
,,,,329,0.33,,,,,,,,,,,,,,,8.216666667,0.443
,,,,360,0.342,,,,,,,,,,,,,,,8.383333333,0.51
,,,,393,0.373,,,,,,,,,,,,,,,,
,,,,413,0.381,,,,,,,,,,,,,,,,
,,,,442,0.418,,,,,,,,,,,,,,,,
,,,,462,0.435,,,,,,,,,,,,,,,,
,,,,504,0.509,,,,,,,,,,,,,,,,
,,,,530,0.543,,,,,,,,,,,,,,,,
,,,,581,0.628,,,,,,,,,,,,,,,,
