,-,-,,Glucose to Malate,,Malate to Glucose,
,Growth rate,Lag time,-,Time (h),OD (rel),Time (h),OD (rel)
Acetate_1_to_Glucose,0.354414786,3.368850693,,0.05,1,0.1,1
Lactate_1_ to glucose,0.533784486,1.20375532,,0.083333333,1.01369863,0.25,1
Glutamate 1 to glucose,0.48248392,1.132518491,,0.116666667,1.04109589,0.566666667,1
Fumarate 1 to glucose,0.618437651,1.403270835,,0.183333333,1,0.95,1.052631579
Succinate 1 to glucose,0.700633393,1.673432091,,0.25,0.95890411,1.333333333,0.947368421
Malate 1 to glucose,0.796656705,2.4063193,,0.366666667,0.98630137,1.583333333,0.947368421
Glucose 1 to malate,0.414282062,1.088689838,,0.516666667,0.98630137,1.783333333,0.947368421
Glucose 1 to Glutamate,0.395114551,1.859799245,,0.65,0.890410959,2.466666667,0.947368421
Glucose 1 to Acetate,0.391376236,1.984731749,,0.833333333,0.890410959,3.033333333,1.210526316
,,,,0.933333333,0.876712329,3.2,1.263157895
,,,,1.183333333,1.02739726,3.85,1.473684211
,,,,1.55,1.232876712,4.583333333,2.105263158
,,,,1.8,1.287671233,5.55,2.789473684
,,,,2.666666667,2.178082192,6.45,3.473684211
,,,,3,2.684931507,7.066666667,4.368421053
,,,,3.516666667,4.095890411,7.933333333,5.736842105
,,,,3.6,4.369863014,8.416666667,6.789473684
,,,,3.766666667,4.876712329,9.033333333,8.736842105
,,,,3.933333333,5.410958904,9.583333333,11.05263158
,,,,4.1,6.246575342,9.866666667,12
,,,,4.216666667,6.698630137,10.28333333,14.26315789
,,,,4.316666667,7.397260274,10.51666667,15.73684211
,,,,,,10.73333333,17.26315789
,,,,,,11.01666667,18.94736842
,,,,,,11.33333333,21.47368421
,,,,,,11.51666667,22.63157895
,,,,,,11.65,23.89473684
,,,,,,11.73333333,25
,,,,,,11.85,25.47368421
,,,,,,11.95,26.47368421
